0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/messages-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/messages-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:01:46 +0700] "GET /adv/user/assets/img/profile-img.jpg HTTP/1.1" 404 724
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:42 +0700] "GET /adv/user/profile?id=61 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:42 +0700] "GET /adv/user/login HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "POST /adv/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "GET /adv/view HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "GET /adv/assets/img/logo.png HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "GET /adv/assets/img/messages-1.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "GET /adv/assets/img/messages-3.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:45 +0700] "GET /adv/assets/img/messages-2.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:48 +0700] "GET /adv/user/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:48 +0700] "GET /adv/user/login HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "POST /adv/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "GET /adv/view HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "GET /adv/assets/img/logo.png HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "GET /adv/assets/img/messages-1.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "GET /adv/assets/img/messages-2.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:51 +0700] "GET /adv/assets/img/messages-3.jpg HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:53 +0700] "GET /adv/user/list HTTP/1.1" 200 16735
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:53 +0700] "GET /adv/user/assets/img/logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:53 +0700] "GET /adv/user/assets/img/messages-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [27/Aug/2023:15:03:53 +0700] "GET /adv/user/assets/img/messages-2.jpg HTTP/1.1" 404 723
